ID_agricola;producto;municipio;ano;ha_sembradas;ha_cosechadas;produccion_por_toneladas;rendimiento_x_hectarea;precio_por_kilogramo;precio_por_tonelada;produccion_en_pesos;produccion_en_miles;produccion_en_millones;latitud;longitud;descripcion;drive_id;imagen_html
389;Arracacha;Albán;2019;8;7;27;4;832;832000;22464000;22464;22;1.4744;-77.0836;La arracacha es un tubérculo originario de los Andes, apreciado por su sabor dulce y suave. Es rica en carbohidratos, fibra y minerales como el calcio y el fósforo. ;1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw;"<img src='https://drive.google.com/thumbnail?id=1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
391;Arracacha;Albán;2020;5;5;9;2;661;661000;5949000;5949;6;1.4744;-77.0836;La arracacha es un tubérculo originario de los Andes, apreciado por su sabor dulce y suave. Es rica en carbohidratos, fibra y minerales como el calcio y el fósforo. ;1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw;"<img src='https://drive.google.com/thumbnail?id=1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
390;Arracacha;Albán;2021;5;4;6;2;1298;1298000;8294220;8294;8;1.4744;-77.0836;La arracacha es un tubérculo originario de los Andes, apreciado por su sabor dulce y suave. Es rica en carbohidratos, fibra y minerales como el calcio y el fósforo. ;1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw;"<img src='https://drive.google.com/thumbnail?id=1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
388;Arracacha;Albán;2022;5;3;17;5;3602;3602000;62674800;62675;63;1.4744;-77.0836;La arracacha es un tubérculo originario de los Andes, apreciado por su sabor dulce y suave. Es rica en carbohidratos, fibra y minerales como el calcio y el fósforo. ;1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw;"<img src='https://drive.google.com/thumbnail?id=1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
387;Arracacha;Albán;2023;5;4;32;8;2261;2261000;72352000;72352;72;1.4744;-77.0836;La arracacha es un tubérculo originario de los Andes, apreciado por su sabor dulce y suave. Es rica en carbohidratos, fibra y minerales como el calcio y el fósforo. ;1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw;"<img src='https://drive.google.com/thumbnail?id=1DhXoaWgCLpjPNremgWAMTNmfo-2YQDdw' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
552;Arveja;Albán;2019;88;78;130;2;2090;2090000;270864000;270864;271;1.4744;-77.0836;La arveja  es una leguminosa cultivada ampliamente en todo el mundo. Sus semillas verdes son ricas en proteínas, fibra, vitaminas como la C y K, y minerales como el hierro.;1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS;"<img src='https://drive.google.com/thumbnail?id=1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
553;Arveja;Albán;2020;129;116;93;1;2792;2792000;259097600;259098;259;1.4744;-77.0836;La arveja  es una leguminosa cultivada ampliamente en todo el mundo. Sus semillas verdes son ricas en proteínas, fibra, vitaminas como la C y K, y minerales como el hierro.;1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS;"<img src='https://drive.google.com/thumbnail?id=1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
554;Arveja;Albán;2021;125;118;94;1;2258;2258000;212252000;212252;212;1.4744;-77.0836;La arveja  es una leguminosa cultivada ampliamente en todo el mundo. Sus semillas verdes son ricas en proteínas, fibra, vitaminas como la C y K, y minerales como el hierro.;1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS;"<img src='https://drive.google.com/thumbnail?id=1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
551;Arveja;Albán;2022;120;155;132;1;5425;5425000;714743750;714744;715;1.4744;-77.0836;La arveja  es una leguminosa cultivada ampliamente en todo el mundo. Sus semillas verdes son ricas en proteínas, fibra, vitaminas como la C y K, y minerales como el hierro.;1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS;"<img src='https://drive.google.com/thumbnail?id=1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
550;Arveja;Albán;2023;110;105;89;1;4477;4477000;399572250;399572;400;1.4744;-77.0836;La arveja  es una leguminosa cultivada ampliamente en todo el mundo. Sus semillas verdes son ricas en proteínas, fibra, vitaminas como la C y K, y minerales como el hierro.;1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS;"<img src='https://drive.google.com/thumbnail?id=1bLBGNXr67vf1lUUKw5UsiaZKoCPAY3ZS' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1061;Café;Albán;2019;1935;1626;2120;1;6151;6151000;13040120000;13040120;13040;1.4744;-77.0836;El café es una planta originaria de África tropical, cuyas semillas se utilizan para producir la popular bebida estimulante. Rico en antioxidantes como los polifenoles y cafeína.;1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv;"<img src='https://drive.google.com/thumbnail?id=1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1060;Café;Albán;2020;1915;1660;2000;1;6799;6799000;13598000000;13598000;13598;1.4744;-77.0836;El café es una planta originaria de África tropical, cuyas semillas se utilizan para producir la popular bebida estimulante. Rico en antioxidantes como los polifenoles y cafeína.;1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv;"<img src='https://drive.google.com/thumbnail?id=1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1058;Café;Albán;2021;1899;1653;1801;1;12341;12341000;22229321276;22229321;22229;1.4744;-77.0836;El café es una planta originaria de África tropical, cuyas semillas se utilizan para producir la popular bebida estimulante. Rico en antioxidantes como los polifenoles y cafeína.;1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv;"<img src='https://drive.google.com/thumbnail?id=1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1059;Café;Albán;2022;1882;1578;1552;1;13679;13679000;21229124050;21229124;21229;1.4744;-77.0836;El café es una planta originaria de África tropical, cuyas semillas se utilizan para producir la popular bebida estimulante. Rico en antioxidantes como los polifenoles y cafeína.;1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv;"<img src='https://drive.google.com/thumbnail?id=1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1062;Café;Albán;2023;1872;1605;1343;1;9975;9975000;13394629500;13394630;13395;1.4744;-77.0836;El café es una planta originaria de África tropical, cuyas semillas se utilizan para producir la popular bebida estimulante. Rico en antioxidantes como los polifenoles y cafeína.;1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv;"<img src='https://drive.google.com/thumbnail?id=1QcUtCQQPDOScoqu-4HxmAC29UkCuRJVv' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1272;Caña Panelera;Albán;2019;429;425;25500;60;2461;2461000;62755500000;62755500;62756;1.4744;-77.0836;La caña panelera  es una variedad de caña de azúcar cultivada para la producción de panela, un endulzante natural. Su jugo se extrae y se cocina para obtener bloques sólidos de panela.;1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z;"<img src='https://drive.google.com/thumbnail?id=1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1270;Caña Panelera;Albán;2020;398;397;39700;100;2692;2692000;106872000000;106872400;106872;1.4744;-77.0836;La caña panelera  es una variedad de caña de azúcar cultivada para la producción de panela, un endulzante natural. Su jugo se extrae y se cocina para obtener bloques sólidos de panela.;1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z;"<img src='https://drive.google.com/thumbnail?id=1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1269;Caña Panelera;Albán;2021;398;396;39600;100;3112;3112000;123235000000;123235200;123235;1.4744;-77.0836;La caña panelera  es una variedad de caña de azúcar cultivada para la producción de panela, un endulzante natural. Su jugo se extrae y se cocina para obtener bloques sólidos de panela.;1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z;"<img src='https://drive.google.com/thumbnail?id=1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1271;Caña Panelera;Albán;2022;248;248;24800;100;4212;4212000;104458000000;104457600;104458;1.4744;-77.0836;La caña panelera  es una variedad de caña de azúcar cultivada para la producción de panela, un endulzante natural. Su jugo se extrae y se cocina para obtener bloques sólidos de panela.;1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z;"<img src='https://drive.google.com/thumbnail?id=1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1273;Caña Panelera;Albán;2023;248;248;24800;100;5066;5066000;125637000000;125636800;125637;1.4744;-77.0836;La caña panelera  es una variedad de caña de azúcar cultivada para la producción de panela, un endulzante natural. Su jugo se extrae y se cocina para obtener bloques sólidos de panela.;1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z;"<img src='https://drive.google.com/thumbnail?id=1aGHrxQWg2FC1luPYhQDWiV8OyW3KkH8z' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1903;Fique;Albán;2019;79;74;6;0;2077;2077000;11527350;11527;12;1.4744;-77.0836;El fique es una fibra natural obtenida de la planta conocida como Furcraea. Es originaria de los Andes. Esta fibra es resistente, biodegradable y versátil.;1phcui7LtEomWLrRD2_oOxWO0pPxX6U29;"<img src='https://drive.google.com/thumbnail?id=1phcui7LtEomWLrRD2_oOxWO0pPxX6U29' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1902;Fique;Albán;2020;69;68;102;2;2283;2283000;232866000;232866;233;1.4744;-77.0836;El fique es una fibra natural obtenida de la planta conocida como Furcraea. Es originaria de los Andes. Esta fibra es resistente, biodegradable y versátil.;1phcui7LtEomWLrRD2_oOxWO0pPxX6U29;"<img src='https://drive.google.com/thumbnail?id=1phcui7LtEomWLrRD2_oOxWO0pPxX6U29' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1901;Fique;Albán;2021;66;65;98;2;3277;3277000;319507500;319508;320;1.4744;-77.0836;El fique es una fibra natural obtenida de la planta conocida como Furcraea. Es originaria de los Andes. Esta fibra es resistente, biodegradable y versátil.;1phcui7LtEomWLrRD2_oOxWO0pPxX6U29;"<img src='https://drive.google.com/thumbnail?id=1phcui7LtEomWLrRD2_oOxWO0pPxX6U29' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1900;Fique;Albán;2022;61;61;91;2;3589;3589000;325701750;325702;326;1.4744;-77.0836;El fique es una fibra natural obtenida de la planta conocida como Furcraea. Es originaria de los Andes. Esta fibra es resistente, biodegradable y versátil.;1phcui7LtEomWLrRD2_oOxWO0pPxX6U29;"<img src='https://drive.google.com/thumbnail?id=1phcui7LtEomWLrRD2_oOxWO0pPxX6U29' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
1899;Fique;Albán;2023;58;58;87;2;2809;2809000;244383000;244383;244;1.4744;-77.0836;El fique es una fibra natural obtenida de la planta conocida como Furcraea. Es originaria de los Andes. Esta fibra es resistente, biodegradable y versátil.;1phcui7LtEomWLrRD2_oOxWO0pPxX6U29;"<img src='https://drive.google.com/thumbnail?id=1phcui7LtEomWLrRD2_oOxWO0pPxX6U29' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2099;Frijol;Albán;2019;200;187;356;2;1858;1858000;661448000;661448;661;1.4744;-77.0836;El frijol es una legumbre versátil y nutritiva. Sus semillas pueden ser de diferentes tamaños y colores. Son ricas en proteínas, fibra, hierro y otros minerales esenciales.;1op0-lW0VYYctGmE0OgNyGj8PYlaziija;"<img src='https://drive.google.com/thumbnail?id=1op0-lW0VYYctGmE0OgNyGj8PYlaziija' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2103;Frijol;Albán;2020;135;126;63;1;1838;1838000;115794000;115794;116;1.4744;-77.0836;El frijol es una legumbre versátil y nutritiva. Sus semillas pueden ser de diferentes tamaños y colores. Son ricas en proteínas, fibra, hierro y otros minerales esenciales.;1op0-lW0VYYctGmE0OgNyGj8PYlaziija;"<img src='https://drive.google.com/thumbnail?id=1op0-lW0VYYctGmE0OgNyGj8PYlaziija' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2102;Frijol;Albán;2021;134;127;64;1;2856;2856000;181641600;181642;182;1.4744;-77.0836;El frijol es una legumbre versátil y nutritiva. Sus semillas pueden ser de diferentes tamaños y colores. Son ricas en proteínas, fibra, hierro y otros minerales esenciales.;1op0-lW0VYYctGmE0OgNyGj8PYlaziija;"<img src='https://drive.google.com/thumbnail?id=1op0-lW0VYYctGmE0OgNyGj8PYlaziija' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2101;Frijol;Albán;2022;132;153;69;0;4050;4050000;278842500;278843;279;1.4744;-77.0836;El frijol es una legumbre versátil y nutritiva. Sus semillas pueden ser de diferentes tamaños y colores. Son ricas en proteínas, fibra, hierro y otros minerales esenciales.;1op0-lW0VYYctGmE0OgNyGj8PYlaziija;"<img src='https://drive.google.com/thumbnail?id=1op0-lW0VYYctGmE0OgNyGj8PYlaziija' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2100;Frijol;Albán;2023;122;110;50;0;3717;3717000;183991500;183992;184;1.4744;-77.0836;El frijol es una legumbre versátil y nutritiva. Sus semillas pueden ser de diferentes tamaños y colores. Son ricas en proteínas, fibra, hierro y otros minerales esenciales.;1op0-lW0VYYctGmE0OgNyGj8PYlaziija;"<img src='https://drive.google.com/thumbnail?id=1op0-lW0VYYctGmE0OgNyGj8PYlaziija' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2344;Granadilla;Albán;2019;2;2;2;1;2981;2981000;5365800;5366;5;1.4744;-77.0836;La granadilla es una fruta tropical. Tiene una cáscara dura de color anaranjado o amarillo, que protege su pulpa gelatinosa y transparente llena de semillas negras comestibles. Es rica en fibra, vitamina C y antioxidantes.;1N71NeEO4nh9twU6JZMjGIpknhnu3nSba;"<img src='https://drive.google.com/thumbnail?id=1N71NeEO4nh9twU6JZMjGIpknhnu3nSba' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2343;Granadilla;Albán;2020;3;3;5;2;2479;2479000;11899200;11899;12;1.4744;-77.0836;La granadilla es una fruta tropical. Tiene una cáscara dura de color anaranjado o amarillo, que protege su pulpa gelatinosa y transparente llena de semillas negras comestibles. Es rica en fibra, vitamina C y antioxidantes.;1N71NeEO4nh9twU6JZMjGIpknhnu3nSba;"<img src='https://drive.google.com/thumbnail?id=1N71NeEO4nh9twU6JZMjGIpknhnu3nSba' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2342;Granadilla;Albán;2021;3;3;4;2;2993;2993000;12929760;12930;13;1.4744;-77.0836;La granadilla es una fruta tropical. Tiene una cáscara dura de color anaranjado o amarillo, que protege su pulpa gelatinosa y transparente llena de semillas negras comestibles. Es rica en fibra, vitamina C y antioxidantes.;1N71NeEO4nh9twU6JZMjGIpknhnu3nSba;"<img src='https://drive.google.com/thumbnail?id=1N71NeEO4nh9twU6JZMjGIpknhnu3nSba' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2341;Granadilla;Albán;2022;1;1;10;8;6175;6175000;59280000;59280;59;1.4744;-77.0836;La granadilla es una fruta tropical. Tiene una cáscara dura de color anaranjado o amarillo, que protege su pulpa gelatinosa y transparente llena de semillas negras comestibles. Es rica en fibra, vitamina C y antioxidantes.;1N71NeEO4nh9twU6JZMjGIpknhnu3nSba;"<img src='https://drive.google.com/thumbnail?id=1N71NeEO4nh9twU6JZMjGIpknhnu3nSba' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2340;Granadilla;Albán;2023;1;1;7;6;6669;6669000;48016800;48017;48;1.4744;-77.0836;La granadilla es una fruta tropical. Tiene una cáscara dura de color anaranjado o amarillo, que protege su pulpa gelatinosa y transparente llena de semillas negras comestibles. Es rica en fibra, vitamina C y antioxidantes.;1N71NeEO4nh9twU6JZMjGIpknhnu3nSba;"<img src='https://drive.google.com/thumbnail?id=1N71NeEO4nh9twU6JZMjGIpknhnu3nSba' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2722;Limón;Albán;2021;797;796;1204;2;1751;1751000;2108713831;2108714;2109;1.4744;-77.0836;El limón es un cítrico de forma ovalada, con cáscara amarilla o verde y una pulpa jugosa de sabor ácido. Es rico en vitamina C, antioxidantes y minerales como el potasio. ;10z36fhi_PEqg4YKV2HTMRsIQSYEKq22L;"<img src='https://drive.google.com/thumbnail?id=10z36fhi_PEqg4YKV2HTMRsIQSYEKq22L' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2721;Limón;Albán;2022;797;797;12051;17;1716;1716000;20679773400;20679773;20680;1.4744;-77.0836;El limón es un cítrico de forma ovalada, con cáscara amarilla o verde y una pulpa jugosa de sabor ácido. Es rico en vitamina C, antioxidantes y minerales como el potasio. ;10z36fhi_PEqg4YKV2HTMRsIQSYEKq22L;"<img src='https://drive.google.com/thumbnail?id=10z36fhi_PEqg4YKV2HTMRsIQSYEKq22L' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2723;Limón;Albán;2023;794;793;11981;17;1244;1244000;14904550600;14904551;14905;1.4744;-77.0836;El limón es un cítrico de forma ovalada, con cáscara amarilla o verde y una pulpa jugosa de sabor ácido. Es rico en vitamina C, antioxidantes y minerales como el potasio. ;10z36fhi_PEqg4YKV2HTMRsIQSYEKq22L;"<img src='https://drive.google.com/thumbnail?id=10z36fhi_PEqg4YKV2HTMRsIQSYEKq22L' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2865;Lulo;Albán;2019;52;49;196;4;2227;2227000;436492000;436492;436;1.4744;-77.0836;El lulo es una fruta tropical. Tiene una cáscara color naranja cubierta de pequeñas vellosidades y una pulpa verde ácida con pequeñas semillas. Es rico en vitamina C, hierro y antioxidantes. ;1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR;"<img src='https://drive.google.com/thumbnail?id=1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2867;Lulo;Albán;2020;42;37;148;4;1478;1478000;218744000;218744;219;1.4744;-77.0836;El lulo es una fruta tropical. Tiene una cáscara color naranja cubierta de pequeñas vellosidades y una pulpa verde ácida con pequeñas semillas. Es rico en vitamina C, hierro y antioxidantes. ;1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR;"<img src='https://drive.google.com/thumbnail?id=1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2864;Lulo;Albán;2021;41;39;157;4;3364;3364000;527475200;527475;527;1.4744;-77.0836;El lulo es una fruta tropical. Tiene una cáscara color naranja cubierta de pequeñas vellosidades y una pulpa verde ácida con pequeñas semillas. Es rico en vitamina C, hierro y antioxidantes. ;1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR;"<img src='https://drive.google.com/thumbnail?id=1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2863;Lulo;Albán;2022;31;31;215;7;3136;3136000;673926400;673926;674;1.4744;-77.0836;El lulo es una fruta tropical. Tiene una cáscara color naranja cubierta de pequeñas vellosidades y una pulpa verde ácida con pequeñas semillas. Es rico en vitamina C, hierro y antioxidantes. ;1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR;"<img src='https://drive.google.com/thumbnail?id=1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
2866;Lulo;Albán;2023;33;28;194;7;2303;2303000;446551700;446552;447;1.4744;-77.0836;El lulo es una fruta tropical. Tiene una cáscara color naranja cubierta de pequeñas vellosidades y una pulpa verde ácida con pequeñas semillas. Es rico en vitamina C, hierro y antioxidantes. ;1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR;"<img src='https://drive.google.com/thumbnail?id=1s8IuwpZA7ISfo5rOI20LYGGJQR-At9rR' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
3289;Mandarina;Albán;2021;0;0;0;2;1832;1832000;357139;357;0;1.4744;-77.0836;La mandarina es un cítrico, de forma redonda o ligeramente achatada, con una cáscara delgada, de color naranja o amarillo. Su pulpa es jugosa, dulce y con un toque ácido. Es una excelente fuente de vitamina C, antioxidantes y fibra.;17GsPUEO6vSrIQqgP3YmCoD61YEdvsi4H;"<img src='https://drive.google.com/thumbnail?id=17GsPUEO6vSrIQqgP3YmCoD61YEdvsi4H' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
3288;Mandarina;Albán;2022;2;0;1;10;1830;1830000;1830000;1830;2;1.4744;-77.0836;La mandarina es un cítrico, de forma redonda o ligeramente achatada, con una cáscara delgada, de color naranja o amarillo. Su pulpa es jugosa, dulce y con un toque ácido. Es una excelente fuente de vitamina C, antioxidantes y fibra.;17GsPUEO6vSrIQqgP3YmCoD61YEdvsi4H;"<img src='https://drive.google.com/thumbnail?id=17GsPUEO6vSrIQqgP3YmCoD61YEdvsi4H' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
3287;Mandarina;Albán;2023;2;0;0;0;2326;2326000;0;0;0;1.4744;-77.0836;La mandarina es un cítrico, de forma redonda o ligeramente achatada, con una cáscara delgada, de color naranja o amarillo. Su pulpa es jugosa, dulce y con un toque ácido. Es una excelente fuente de vitamina C, antioxidantes y fibra.;17GsPUEO6vSrIQqgP3YmCoD61YEdvsi4H;"<img src='https://drive.google.com/thumbnail?id=17GsPUEO6vSrIQqgP3YmCoD61YEdvsi4H' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
3367;Maní;Albán;2019;6;4;5;1;5371;5371000;26183625;26184;26;1.4744;-77.0836;El maní es una leguminosa. Sus semillas, protegidas por una cáscara dura, son ricas en proteínas, grasas saludables, fibra, vitaminas del grupo B, vitamina E y minerales como el magnesio y el fósforo. ;14LfOIWJcbQUAp5-mbX2ZNLikYKacVOUx;"<img src='https://drive.google.com/thumbnail?id=14LfOIWJcbQUAp5-mbX2ZNLikYKacVOUx' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
